time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1719760087.47789669,0.00556521,0.00429755,-nan,6.00000000,0.00556521,0.000000,0.000000
1719760087.57872820,0.00526048,0.00384955,-nan,1614.00000000,0.00495575,0.000000,0.000000
1719760087.67957234,0.00570887,0.00297705,-nan,2650.00000000,0.00660566,0.000000,0.000000
1719760087.78043199,0.00535679,0.00311226,-nan,3442.00000000,0.00430055,0.000000,0.000000
1719760087.88131475,0.00611293,0.00279851,0.00000315,4051.00000000,0.00913745,0.000000,0.000000
1719760087.98215723,0.00623274,0.00216829,0.00000247,4449.00000000,0.00683181,0.000000,0.000000
1719760088.08304119,0.00617598,0.00143138,0.00000244,5042.00000000,0.00583538,0.000000,0.000000
1719760088.18388224,0.00616351,0.00183980,0.00000248,5448.00000000,0.00607623,0.000000,0.000000
1719760088.28472996,0.00621616,0.00171396,0.00000271,5817.00000000,0.00663739,0.000000,0.000000
1719760088.38563514,0.00627225,0.00149369,0.00000264,6105.00000000,0.00677708,0.000000,0.000000
1719760088.48646355,0.00623581,0.00149589,0.00000248,6243.00000000,0.00587136,0.000000,0.000000
1719760088.58734560,0.00618204,0.00118182,0.00000271,6360.00000000,0.00559060,0.000000,0.000000
1719760088.68821216,0.00615047,0.00134400,0.00000270,6495.00000000,0.00577163,0.000000,0.000000
1719760088.78903341,0.00616580,0.00128328,0.00000315,6649.00000000,0.00636514,0.000000,0.000000
1719760088.88997698,0.00618917,0.00128495,0.00000349,6781.00000000,0.00651637,0.000000,0.000000
1719760088.99076366,0.00625983,0.00152505,0.00000348,6920.00000000,0.00731960,0.000000,0.000000
1719760089.09165430,0.00633037,0.00173961,0.00000331,7145.00000000,0.00745900,0.000000,0.000000
1719760089.19252634,0.00649176,0.00243556,0.00000357,7507.00000000,0.00923540,0.000000,0.000000
1719760089.29333186,0.00652483,0.00180493,0.00000318,7902.00000000,0.00712017,0.000000,0.000000
1719760089.39424849,0.00652290,0.00177580,0.00000261,8325.00000000,0.00648621,0.000000,0.000000
1719760089.49507546,0.00655122,0.00183681,0.00000280,8565.00000000,0.00711760,0.000000,0.000000
1719760089.59592342,0.00653040,0.00128661,0.00000277,8674.00000000,0.00609323,0.000000,0.000000
1719760089.69680095,0.00651685,0.00142890,0.00000281,8984.00000000,0.00621875,0.000000,0.000000
1719760089.79763484,0.00652162,0.00145633,0.00000262,9222.00000000,0.00663121,0.000000,0.000000
1719760089.89850402,0.00661186,0.00170600,0.00000276,9527.00000000,0.00877775,0.000000,0.000000
1719760089.99936247,0.00664619,0.00187486,0.00000290,9753.00000000,0.00750429,0.000000,0.000000
1719760090.10021973,0.00665454,0.00182445,0.00000271,10082.00000000,0.00687167,0.000000,0.000000
1719760090.20108271,0.00668870,0.00145813,0.00000304,10343.00000000,0.00761103,0.000000,0.000000
1719760090.30194712,0.00673042,0.00159432,0.00000354,10609.00000000,0.00789868,0.000000,0.000000
1719760090.40279818,0.00673633,0.00163076,0.00000286,10811.00000000,0.00690771,0.000000,0.000000
1719760090.50366926,0.00677558,0.00188248,0.00000336,10996.00000000,0.00795292,0.000000,0.000000
1719760090.60452390,0.00677506,0.00137464,0.00000301,11042.00000000,0.00675896,0.000000,0.000000
1719760090.70538163,0.00678487,0.00148837,0.00000288,11229.00000000,0.00709884,0.000000,0.000000
1719760090.80624056,0.00681064,0.00143937,0.00000337,11431.00000000,0.00766105,0.000000,0.000000
1719760090.90715408,0.00684914,0.00141319,0.00000341,11570.00000000,0.00815805,0.000000,0.000000
1719760091.00797462,0.00689288,0.00155732,0.00000371,11746.00000000,0.00842379,0.000000,0.000000
1719760091.10882878,0.00691151,0.00131307,0.00000381,11916.00000000,0.00758242,0.000000,0.000000
1719760091.20974445,0.00691262,0.00165914,0.00000345,12137.00000000,0.00695373,0.000000,0.000000
1719760091.31056452,0.00691277,0.00165030,0.00000336,12262.00000000,0.00691822,0.000000,0.000000
1719760091.41143322,0.00692532,0.00168028,0.00000315,12488.00000000,0.00741503,0.000000,0.000000
1719760091.51229620,0.00693759,0.00138716,0.00000328,12665.00000000,0.00742834,0.000000,0.000000
1719760091.61311913,0.00696970,0.00191689,0.00000338,12768.00000000,0.00828623,0.000000,0.000000
1719760091.71403527,0.00700041,0.00164743,0.00000357,12983.00000000,0.00829001,0.000000,0.000000
1719760091.81487322,0.00703682,0.00203447,0.00000338,13098.00000000,0.00860275,0.000000,0.000000
1719760091.91577244,0.00708891,0.00228061,0.00000400,13225.00000000,0.00938082,0.000000,0.000000
1719760092.01659775,0.00711210,0.00214490,0.00000309,13435.00000000,0.00815566,0.000000,0.000000
1719760092.11743498,0.00715790,0.00231576,0.00000329,13662.00000000,0.00926480,0.000000,0.000000
1719760092.21835661,0.00715829,0.00179342,0.00000280,13919.00000000,0.00717660,0.000000,0.000000
1719760092.31917477,0.00719326,0.00287483,0.00000307,14162.00000000,0.00887181,0.000000,0.000000
1719760092.42005944,0.00721181,0.00236934,0.00000275,14223.00000000,0.00812068,0.000000,0.000000
1719760092.52089667,0.00730598,0.00335878,0.00000388,14766.00000000,0.01201452,0.000000,0.000000
1719760092.62178421,0.00735219,0.00251311,0.00000338,14932.00000000,0.00970897,0.000000,0.000000
1719760092.72264671,0.00739636,0.00228012,0.00000305,15266.00000000,0.00969284,0.000000,0.000000
1719760092.82348013,0.00743919,0.00238187,0.00000317,15711.00000000,0.00970917,0.000000,0.000000
1719760092.92433095,0.00753857,0.00333894,0.00000372,16294.00000000,0.01290498,0.000000,0.000000
1719760093.02520442,0.00757995,0.00309724,0.00000315,16870.00000000,0.00985584,0.000000,0.000000
1719760093.12604523,0.00765977,0.00455512,0.00000323,17440.00000000,0.01213014,0.000000,0.000000
1719760093.22689819,0.00777843,0.00364601,0.00000358,17883.00000000,0.01454198,0.000000,0.000000
1719760093.32779980,0.00784077,0.00330519,0.00000341,18343.00000000,0.01145649,0.000000,0.000000
1719760093.42864847,0.00792272,0.00392201,0.00000357,19219.00000000,0.01275790,0.000000,0.000000
1719760093.52952695,0.00797098,0.00338195,0.00000354,20154.00000000,0.01086616,0.000000,0.000000
1719760093.63037443,0.00803469,0.00362924,0.00000351,20798.00000000,0.01192100,0.000000,0.000000
1719760093.73120165,0.00809960,0.00439266,0.00000346,21457.00000000,0.01212443,0.000000,0.000000
1719760093.83210182,0.00811527,0.00247138,0.00000332,21894.00000000,0.00910243,0.000000,0.000000
1719760093.93294716,0.00813690,0.00234676,0.00000343,22434.00000000,0.00952076,0.000000,0.000000
1719760094.03381300,0.00815628,0.00274011,0.00000332,22846.00000000,0.00941592,0.000000,0.000000
1719760094.13465786,0.00819331,0.00306705,0.00000342,23288.00000000,0.01063779,0.000000,0.000000
1719760094.23550558,0.00822369,0.00226928,0.00000356,23585.00000000,0.01025919,0.000000,0.000000
1719760094.33640099,0.00823960,0.00196838,0.00000336,23916.00000000,0.00932151,0.000000,0.000000
1719760094.43724108,0.00828865,0.00230416,0.00000412,24276.00000000,0.01167256,0.000000,0.000000
1719760094.53808689,0.00830986,0.00261149,0.00000361,24613.00000000,0.00979474,0.000000,0.000000
1719760094.63896012,0.00832273,0.00244293,0.00000333,24785.00000000,0.00923688,0.000000,0.000000
1719760094.73980451,0.00835152,0.00222437,0.00000378,25141.00000000,0.01042438,0.000000,0.000000
1719760094.84071493,0.00837993,0.00226324,0.00000366,25325.00000000,0.01045371,0.000000,0.000000
1719760094.94156122,0.00842232,0.00268825,0.00000413,25627.00000000,0.01155890,0.000000,0.000000
1719760095.04240513,0.00843543,0.00255717,0.00000319,25898.00000000,0.00941919,0.000000,0.000000
1719760095.14325094,0.00846431,0.00286319,0.00000343,26175.00000000,0.01065863,0.000000,0.000000
1719760095.24411678,0.00850919,0.00261478,0.00000391,26416.00000000,0.01196553,0.000000,0.000000
1719760095.34498334,0.00857963,0.00399067,0.00000452,26793.00000000,0.01407324,0.000000,0.000000
1719760095.44582748,0.00861415,0.00331168,0.00000362,26517.00000000,0.01134124,0.000000,0.000000
1719760095.54669285,0.00866600,0.00265517,0.00000396,26938.00000000,0.01281410,0.000000,0.000000
1719760095.64755535,0.00868329,0.00237753,0.00000362,27317.00000000,0.01008393,0.000000,0.000000
1719760095.74841309,0.00868635,0.00194923,0.00000338,27210.00000000,0.00893758,0.000000,0.000000
1719760095.84928465,0.00872005,0.00214971,0.00000387,27507.00000000,0.01151677,0.000000,0.000000
1719760095.95013475,0.00872182,0.00193476,0.00000324,27730.00000000,0.00887097,0.000000,0.000000
1719760096.05099678,0.00874646,0.00211952,0.00000399,28040.00000000,0.01084047,0.000000,0.000000
1719760096.15187454,0.00874497,0.00199851,0.00000318,28291.00000000,0.00861700,0.000000,0.000000
1719760096.25271916,0.00879708,0.00296141,0.00000409,28645.00000000,0.01333070,0.000000,0.000000
1719760096.35361290,0.00883517,0.00347284,0.00000352,29052.00000000,0.01218734,0.000000,0.000000
1719760096.45445061,0.00887033,0.00446063,0.00000343,29577.00000000,0.01199919,0.000000,0.000000
1719760096.55530453,0.00893573,0.00467150,0.00000394,30294.00000000,0.01482214,0.000000,0.000000
1719760096.65620232,0.00899529,0.00529438,0.00000389,31175.00000000,0.01441500,0.000000,0.000000
1719760096.75705147,0.00906369,0.00540297,0.00000512,32087.00000000,0.01535671,0.000000,0.000000
1719760096.85791206,0.00908374,0.00374352,0.00000341,32778.00000000,0.01094798,0.000000,0.000000
1719760096.95876074,0.00909175,0.00313133,0.00000367,32173.00000000,0.00984429,0.000000,0.000000
1719760097.05959988,0.00910678,0.00303630,0.00000397,32849.00000000,0.01053461,0.000000,0.000000
1719760097.16050959,0.00910495,0.00275739,0.00000358,33387.00000000,0.00893001,0.000000,0.000000
1719760097.26133823,0.00910155,0.00207604,0.00000376,33882.00000000,0.00877105,0.000000,0.000000
1719760097.36219096,0.00910933,0.00261547,0.00000408,34383.00000000,0.00987264,0.000000,0.000000
1719760097.46306276,0.00913071,0.00297101,0.00000442,35020.00000000,0.01124662,0.000000,0.000000
1719760097.56391287,0.00915911,0.00300885,0.00000411,35823.00000000,0.01199925,0.000000,0.000000
1719760097.66481948,0.00918477,0.00339540,0.00000419,36585.00000000,0.01177625,0.000000,0.000000
1719760097.76564837,0.00921273,0.00394784,0.00000425,37367.00000000,0.01206444,0.000000,0.000000
1719760097.86648774,0.00924247,0.00423000,0.00000382,38185.00000000,0.01230655,0.000000,0.000000
1719760097.96736717,0.00925919,0.00363213,0.00000391,38875.00000000,0.01099795,0.000000,0.000000
1719760098.06821012,0.00928370,0.00381174,0.00000433,39444.00000000,0.01185675,0.000000,0.000000
1719760098.16911888,0.00931416,0.00308780,0.00000395,40050.00000000,0.01254264,0.000000,0.000000
1719760098.26995730,0.00933619,0.00404664,0.00000389,40851.00000000,0.01169341,0.000000,0.000000
1719760098.37079191,0.00936888,0.00428551,0.00000354,41454.00000000,0.01289945,0.000000,0.000000
1719760098.47167110,0.00937670,0.00317406,0.00000343,42111.00000000,0.01022916,0.000000,0.000000
1719760098.57251453,0.00940229,0.00429170,0.00000340,42905.00000000,0.01221784,0.000000,0.000000
1719760098.67341948,0.00946328,0.00714695,0.00000432,43622.00000000,0.01623336,0.000000,0.000000
1719760098.77426553,0.00948280,0.00414898,0.00000365,44213.00000000,0.01166868,0.000000,0.000000
1719760098.87509251,0.00949639,0.00354642,0.00000376,44562.00000000,0.01103152,0.000000,0.000000
1719760098.97599792,0.00951633,0.00334143,0.00000397,45110.00000000,0.01178943,0.000000,0.000000
1719760099.07681823,0.00952678,0.00274438,0.00000383,45836.00000000,0.01072956,0.000000,0.000000
1719760099.17767715,0.00956611,0.00362004,0.00000489,46400.00000000,0.01412747,0.000000,0.000000
1719760099.27857661,0.00957542,0.00315000,0.00000385,46948.00000000,0.01066486,0.000000,0.000000
1719760099.37939978,0.00959566,0.00323201,0.00000427,47409.00000000,0.01198404,0.000000,0.000000
1719760099.48030424,0.00959879,0.00257861,0.00000374,47890.00000000,0.00997117,0.000000,0.000000
1719760099.58112335,0.00963463,0.00645198,0.00000371,48343.00000000,0.01393542,0.000000,0.000000
1719760099.68197584,0.00963307,0.00240749,0.00000358,46422.00000000,0.00944445,0.000000,0.000000
1719760099.78287601,0.00963839,0.00222206,0.00000403,46994.00000000,0.01028799,0.000000,0.000000
1719760099.88372326,0.00964565,0.00235076,0.00000418,47594.00000000,0.01053875,0.000000,0.000000
1719760099.98455477,0.00964864,0.00256941,0.00000392,48100.00000000,0.01001906,0.000000,0.000000
1719760100.08542728,0.00965223,0.00247599,0.00000425,48644.00000000,0.01010026,0.000000,0.000000
1719760100.18632793,0.00966924,0.00256988,0.00000480,49160.00000000,0.01181287,0.000000,0.000000
1719760100.28718829,0.00967058,0.00236091,0.00000403,49758.00000000,0.00984048,0.000000,0.000000
1719760100.38800645,0.00967220,0.00240969,0.00000403,50319.00000000,0.00987993,0.000000,0.000000
1719760100.48885965,0.00967611,0.00238643,0.00000442,50713.00000000,0.01018052,0.000000,0.000000
1719760100.58973885,0.00968032,0.00267643,0.00000442,51105.00000000,0.01022814,0.000000,0.000000
1719760100.69062138,0.00968571,0.00246760,0.00000481,51444.00000000,0.01039102,0.000000,0.000000
1719760100.79144812,0.00969107,0.00258566,0.00000434,51818.00000000,0.01039826,0.000000,0.000000
1719760100.89230943,0.00969612,0.00244643,0.00000421,52090.00000000,0.01036831,0.000000,0.000000
1719760100.99315500,0.00970158,0.00263267,0.00000405,52547.00000000,0.01043316,0.000000,0.000000
1719760101.09402943,0.00971528,0.00315603,0.00000404,53113.00000000,0.01156553,0.000000,0.000000
1719760101.19492292,0.00971970,0.00243455,0.00000413,53692.00000000,0.01032029,0.000000,0.000000
1719760101.29574156,0.00972934,0.00296450,0.00000413,54159.00000000,0.01104961,0.000000,0.000000
1719760101.39660954,0.00974618,0.00249090,0.00000461,54598.00000000,0.01207018,0.000000,0.000000
1719760101.49746323,0.00975970,0.00290696,0.00000425,54982.00000000,0.01163972,0.000000,0.000000
1719760101.59838605,0.00976135,0.00225071,0.00000391,55444.00000000,0.00999137,0.000000,0.000000
1719760101.69921279,0.00976981,0.00289808,0.00000432,55877.00000000,0.01096357,0.000000,0.000000
1719760101.80008006,0.00978056,0.00348550,0.00000394,56384.00000000,0.01130603,0.000000,0.000000
1719760101.90096903,0.00979130,0.00320598,0.00000394,56699.00000000,0.01132840,0.000000,0.000000
1719760102.00176835,0.00979614,0.00289726,0.00000392,57169.00000000,0.01049252,0.000000,0.000000
1719760102.10267544,0.00980531,0.00316409,0.00000413,57543.00000000,0.01113498,0.000000,0.000000
1719760102.20354033,0.00981127,0.00296243,0.00000413,57946.00000000,0.01068193,0.000000,0.000000
1719760102.30435371,0.00982136,0.00272977,0.00000400,58446.00000000,0.01130406,0.000000,0.000000
1719760102.40522480,0.00982607,0.00303443,0.00000424,59055.00000000,0.01052374,0.000000,0.000000
1719760102.50607443,0.00983470,0.00270710,0.00000418,59597.00000000,0.01111936,0.000000,0.000000
1719760102.60697722,0.00985504,0.00298810,0.00000487,60147.00000000,0.01290598,0.000000,0.000000
1719760102.70782232,0.00987122,0.00308201,0.00000495,60515.00000000,0.01231568,0.000000,0.000000
1719760102.80865049,0.00988310,0.00321818,0.00000458,60921.00000000,0.01168827,0.000000,0.000000
1719760102.90953112,0.00990193,0.00319672,0.00000504,61263.00000000,0.01278352,0.000000,0.000000
1719760103.01037407,0.00992350,0.00287340,0.00000527,61644.00000000,0.01324469,0.000000,0.000000
1719760103.11128283,0.00994243,0.00260309,0.00000512,62021.00000000,0.01287648,0.000000,0.000000
1719760103.21212339,0.00995253,0.00305595,0.00000467,62412.00000000,0.01152762,0.000000,0.000000
1719760103.31295824,0.00996299,0.00313525,0.00000459,62744.00000000,0.01160566,0.000000,0.000000
